word,synonyms
বুদ্ধি121,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত121,"দৃঢ়, কঠিন, মজবুত"
দুর্বল121,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর121,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়121,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম122,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত122,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস122,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ122,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ122,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি122,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত122,"দৃঢ়, কঠিন, মজবুত"
দুর্বল122,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর122,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়122,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম123,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত123,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস123,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ123,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ123,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি123,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত123,"দৃঢ়, কঠিন, মজবুত"
দুর্বল123,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর123,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়123,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম124,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত124,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস124,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ124,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ124,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি124,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত124,"দৃঢ়, কঠিন, মজবুত"
দুর্বল124,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর124,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়124,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম125,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত125,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস125,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ125,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ125,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি125,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত125,"দৃঢ়, কঠিন, মজবুত"
দুর্বল125,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর125,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়125,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম126,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত126,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস126,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ126,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ126,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি126,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত126,"দৃঢ়, কঠিন, মজবুত"
দুর্বল126,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর126,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়126,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম127,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত127,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস127,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ127,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ127,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি127,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত127,"দৃঢ়, কঠিন, মজবুত"
দুর্বল127,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর127,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়127,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম128,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত128,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস128,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ128,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ128,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি128,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত128,"দৃঢ়, কঠিন, মজবুত"
দুর্বল128,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর128,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়128,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম129,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত129,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস129,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ129,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ129,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি129,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত129,"দৃঢ়, কঠিন, মজবুত"
দুর্বল129,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর129,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়129,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম130,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত130,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস130,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ130,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ130,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি130,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত130,"দৃঢ়, কঠিন, মজবুত"
দুর্বল130,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর130,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়130,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম131,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত131,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস131,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ131,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ131,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি131,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত131,"দৃঢ়, কঠিন, মজবুত"
দুর্বল131,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর131,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়131,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম132,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত132,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস132,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ132,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ132,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি132,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত132,"দৃঢ়, কঠিন, মজবুত"
দুর্বল132,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর132,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়132,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম133,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত133,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস133,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ133,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ133,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি133,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত133,"দৃঢ়, কঠিন, মজবুত"
দুর্বল133,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর133,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়133,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম134,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত134,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস134,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ134,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ134,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি134,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত134,"দৃঢ়, কঠিন, মজবুত"
দুর্বল134,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর134,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়134,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম135,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত135,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস135,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ135,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ135,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি135,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত135,"দৃঢ়, কঠিন, মজবুত"
দুর্বল135,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর135,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়135,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম136,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত136,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস136,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ136,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ136,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি136,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত136,"দৃঢ়, কঠিন, মজবুত"
দুর্বল136,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর136,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়136,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম137,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত137,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস137,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ137,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ137,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি137,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত137,"দৃঢ়, কঠিন, মজবুত"
দুর্বল137,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর137,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়137,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম138,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত138,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস138,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ138,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ138,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি138,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত138,"দৃঢ়, কঠিন, মজবুত"
দুর্বল138,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর138,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়138,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম139,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত139,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস139,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ139,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ139,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি139,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত139,"দৃঢ়, কঠিন, মজবুত"
দুর্বল139,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর139,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়139,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম140,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত140,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস140,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ140,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ140,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি140,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত140,"দৃঢ়, কঠিন, মজবুত"
দুর্বল140,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর140,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়140,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম141,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত141,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস141,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ141,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ141,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি141,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত141,"দৃঢ়, কঠিন, মজবুত"
দুর্বল141,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর141,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়141,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম142,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত142,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস142,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ142,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ142,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি142,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত142,"দৃঢ়, কঠিন, মজবুত"
দুর্বল142,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর142,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়142,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম143,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত143,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস143,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ143,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ143,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি143,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত143,"দৃঢ়, কঠিন, মজবুত"
দুর্বল143,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর143,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়143,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম144,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত144,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস144,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ144,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ144,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি144,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত144,"দৃঢ়, কঠিন, মজবুত"
দুর্বল144,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর144,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়144,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম145,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত145,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস145,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ145,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ145,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি145,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত145,"দৃঢ়, কঠিন, মজবুত"
দুর্বল145,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর145,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়145,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম146,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত146,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস146,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ146,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ146,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি146,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত146,"দৃঢ়, কঠিন, মজবুত"
দুর্বল146,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর146,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়146,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম147,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত147,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস147,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ147,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ147,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি147,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত147,"দৃঢ়, কঠিন, মজবুত"
দুর্বল147,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর147,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়147,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম148,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত148,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস148,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ148,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ148,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি148,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত148,"দৃঢ়, কঠিন, মজবুত"
দুর্বল148,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর148,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়148,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম149,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত149,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস149,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ149,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ149,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি149,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত149,"দৃঢ়, কঠিন, মজবুত"
দুর্বল149,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর149,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়149,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম150,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত150,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস150,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ150,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ150,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি150,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত150,"দৃঢ়, কঠিন, মজবুত"
দুর্বল150,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর150,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়150,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম151,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত151,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস151,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ151,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ151,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি151,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত151,"দৃঢ়, কঠিন, মজবুত"
দুর্বল151,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর151,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়151,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম152,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত152,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস152,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ152,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ152,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি152,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত152,"দৃঢ়, কঠিন, মজবুত"
দুর্বল152,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর152,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়152,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম153,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত153,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস153,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ153,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ153,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি153,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত153,"দৃঢ়, কঠিন, মজবুত"
দুর্বল153,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর153,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়153,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম154,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত154,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস154,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ154,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ154,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি154,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত154,"দৃঢ়, কঠিন, মজবুত"
দুর্বল154,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর154,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়154,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম155,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত155,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস155,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ155,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ155,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি155,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত155,"দৃঢ়, কঠিন, মজবুত"
দুর্বল155,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর155,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়155,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম156,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত156,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস156,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ156,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ156,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি156,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত156,"দৃঢ়, কঠিন, মজবুত"
দুর্বল156,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর156,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়156,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম157,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত157,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস157,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ157,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ157,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি157,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত157,"দৃঢ়, কঠিন, মজবুত"
দুর্বল157,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর157,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়157,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম158,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত158,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস158,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ158,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ158,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি158,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত158,"দৃঢ়, কঠিন, মজবুত"
দুর্বল158,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর158,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়158,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম159,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত159,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস159,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ159,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ159,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি159,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত159,"দৃঢ়, কঠিন, মজবুত"
দুর্বল159,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর159,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়159,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম160,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত160,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস160,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ160,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ160,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি160,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত160,"দৃঢ়, কঠিন, মজবুত"
দুর্বল160,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর160,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়160,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম161,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত161,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস161,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ161,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ161,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি161,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত161,"দৃঢ়, কঠিন, মজবুত"
দুর্বল161,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর161,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়161,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম162,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত162,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস162,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ162,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ162,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি162,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত162,"দৃঢ়, কঠিন, মজবুত"
দুর্বল162,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর162,"মনোরম, রূপসী, আকর্ষণীয়"
ভয়162,"আতঙ্ক, আশঙ্কা, ত্রাস"
অক্ষম163,"অসমর্থ, অদক্ষ, দুর্বল"
দ্রুত163,"শীঘ্র, ত্বরিত, তাড়াতাড়ি"
সাহস163,"বীরত্ব, ধৈর্য, দৃঢ়তা"
আনন্দ163,"সুখ, প্রসন্নতা, আহ্লাদ"
দুঃখ163,"বেদনা, কষ্ট, বিষাদ"
বুদ্ধি163,"মেধা, প্রজ্ঞা, বিবেক"
শক্ত163,"দৃঢ়, কঠিন, মজবুত"
দুর্বল163,"নির্বল, ক্ষীণ, অক্ষম"
সুন্দর163,"মনোরম, রূপসী, আকর্ষণীয়"
